Rank,ASIN,Image URL,Title,Best Seller Ranks,Currency,Price,Review Rating,Review Count,In-Stock,Purchase Limits,Feature Points,Brand,Seller,Store,Offers,Product Dimensions,Product Weight,Shipping Weight,Published At,FBA,Prime,Sponsored
11,B092LWT2JF,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/515Mg-FlUgL._AC_UL320_.jpg,"minfair Moderne LED-Deckenleuchte, Deckenleuchte mit runder Geometrie, schicker Kronleuchter 6000K für Flur, Wohnzimmer, Schlafzimmer 18W Dia 24CM","Beleuchtung: 17193
Kronleuchter: 126",EUR,33.99,4.2,346.0,,,"【Außergewöhnliche Beleuchtung】 Gebaut mit 21-W-LED-Leuchten, die 3000K Warmweiß, 4500K Naturelweiß, 6000K Kaltweißlicht, 3 Lampen nach Wahl, 24 cm Durchmesser erzeugen. Einfach, aber ungewöhnlich, sie werden Ihr Zuhause beleuchten und Ihre Augen als Dekoration in Ihrem Zuhause einfangen.

【Stilvolles Design】 Zwei LED-Leuchttafeln in moderner, geschwungener Form, einfach, aber ungewöhnlich, beleuchten Ihr Zuhause und fangen Ihre Augen als Dekoration in Ihrem Zuhause ein.

【Energieeinsparung】 Geringer Stromverbrauch, aber hohe Helligkeit. Mit einem hocheffizienten LED-Chip, bei dem Sie keinen Lampenwechsel kaufen müssen, können Sie etwa 85% der Stromrechnungen einsparen.

【Hochwertiges Material】 Metallsockel und Aluminiumfassung der Lampe machen sie langlebiger, robuster und rostfreier. Acrylfarben schützen Ihre Augen besser, kein Flackern oder Blenden.

【Einfach zu installieren】 Einfach und dennoch elegant, einfach und schnell an der Wand oder Decke zu montieren oder zu demontieren.",minifair,Life Infinite,,,28.5 x 26.7 x 13.7 cm,570 g,,2021-04-15,0.0,0.0,True
12,B08L68CV78,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51uWON89mUL._AC_UL320_.jpg,"RHTCEN LED Deckenleuchte, 36W 3200lm Aluminium DeckenLampe, Mit Fernbedienung Dimmbar, Moderne LED Deckenleuchten for Wohnzimmer, Schlafzimmer, Kinderzimmer, Maß L55 * W40 * H6cm [Energieklasse A ++]","Beleuchtung: 3598
Deckenleuchten: 263",EUR,69.99,4.3,45.0,,,"1. Kreatives Design: modern kreative geometrische runde Kombination, einzigartig minimalistisches nordisches Design. 360 ° Surround-Beleuchtung, die den gesamten Raum erhellt, ist die erste Wahl für Ihre Beleuchtung Dekoration.

2. Abmessungen: Die Höhe der Deckenleuchte ist nur 6cm, Die Deckenleuchte mit einer Länge von 55 cm und eine Breite von 40 cm.und die Farbe der Deckenleuchte Körper ist weiß.

3. LED-Lichtquelle: Die Deckenleuchte verfügt über eine integrierte in neue LED-Chip-Lichtquelle, hohe Helligkeit, Energieeinsparung, Umweltschutz, lange Lebensdauer der LEDs, die die Mühe des Ersetzens der Glühlampe sparen.

4. Dimmbar: Mit der dimmbaren Fernbedienung können Sie mit der Fernbedienung die Farbtemperatur und Helligkeit des Lichts einstellen und den Nachtlichtmodus einstellen. Die Fernbedienung verfügt über eine Speicherfunktion, mit der Sie die von Ihnen eingestellte Farbtemperatur und Helligkeit speichern können.

5. Anwendungsbereich: Die Deckenlampenleistung 36W, 3000 ~ 3200lm, geeignet für Räume von 8 ~ 12㎡. Die kreative geometrische Deckenleuchte ist ideal für Kinderzimmer, Schlafzimmer, Arbeitszimmer, Wohnzimmer und andere dekorative Beleuchtung.",RHTCEN,RHTCEN®,,,55 x 40 x 6 cm,3 kilogramm,,2020-10-14,0.0,0.0,True
13,B09M34PPG1,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61alBZPnL8L._AC_UL320_.jpg,"Dimmbar LED Deckenlampe 100x25 cm, 28W Deckenleuchte Panel mit Fernbedienung und Speicherfunktion, Indirekt Stark Leuchtkraft Licht 2700K-6500K, Ultra Dünn Tageslichtlampe für Büro Wohnzimmer Küche","Beleuchtung: 9710
Bürodeckenleuchten: 49
Deckenleuchten: 687",EUR,66.99,4.4,13.0,,,"⛺🌌Hochwertige Materialien: Diese energieeffiziente und moderne LED-Deckenleuchte ist aus Metall-Aluminium-Legierung und PC gefertigt. lange Haltbarkeit. Das rechteckige Rahmendesign ist sehr minimalistisch und stilvoll. Diese Deckenleuchte hat ein hervorragendes Preis-Leistungs-Verhältnis. Er eignet sich für alle Einrichtungsstile und beeinträchtigt weder das Layout noch die Ästhetik des Raums. Kann auch als Wohnzimmerleuchte, Schlafzimmerleuchte und Küchenleuchte usw. verwendet werden.

⛺🌌Stufenlos Dimmbar und Speicherfunktion：Die Helligkeit der Deckenleuchte kann von 5% bis 100% eingestellt werden. Die Farbtemperatur beträgt 2700K - 6500K. Warm-/Natur-/Kaltweiß Licht sind verfügbar. Verschiedene Farbtemperaturen sind für unterschiedliche Umgebungen geeignet. Sie können die Farbtemperatur und die Helligkeit der Deckenleuchte an Ihre Bedürfnisse anpassen. - Die zuletzt gewählte Lichteinstellung wird gespeichert. bis Sie es das nächste Mal wieder zurücksetzen. (Memory-Funktion)

⛺🌌Energiesparend und Längere Lebensdauer：Diese LED-Deckenleuchte ist aus hochwertigen, energieeffizienten LEDs gefertigt. Mit 2400 Lumen bietet diese Deckenleuchte eine helle, großflächige Beleuchtung für Ihren Raum. Mit der 28W LED-Deckenleuchte können Sie im Vergleich zu herkömmlichen Glühbirnen bis zu 90% Energiekosten sparen. Wenn diese Deckenleuchte 36 Stunden lang eingeschaltet bleibt, verbraucht sie nur eine kWh Strom. Dieses LED-Panel hat eine Lebensdauer von über 50.000 Stunden.

⛺🌌Intelligenter Gruppierungsmodus für die Fernbedienung：Der größte Vorteil unserer LED-Paneele, abgesehen von der Energiespar- und Speicherfunktion ist, dass die Deckenleuchten gruppiert und per Fernbedienung für viele Deckenleuchten gleichzeitig gesteuert werden können. Mit dieser Funktion brauchen Sie nicht für jede Deckenleuchte, die Sie einschalten, eine neue Fernbedienung. Eine große Erleichterung für Ihr Leben.(Die Voraussetzung ist, dass Sie die gleiche Deckenleuchte kaufen.)

⛺🌌Hohe Qualität und Augenschutz: Produktgröße 100x25x1,1 cm, Produktgewicht: ca. 3,6 kg. Wir bieten eine 1-jährige Garantie auf LED-Panels. Unsere Kundendienst werden Ihre Nachricht innerhalb von 12 Stunden beantworten und Ihnen bei allen Fragen weiterhelfen. Diese Deckenleuchte ist blendfrei und flimmerfrei. Augenschutz. Hohe Lichtleistung und hohe Farbwiedergabe (CIR>80). Funktionelles Design mit Speicherfunktion und Gruppensteuerung eignen sich sehr gut für Büros Fabriken Flure Garagen usw.",Omdekor,Sundajen,Besuche den Omdekor,,100l x 25b x 1.2h cm,3.44 kg,,2021-11-17,1.0,1.0,False
14,B0B4P2RL2G,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61oxwsUullL._AC_UL320_.jpg,"24W LED Deckenleuchte Dimmbar mit Fernbedienung, 29.5cm 4000K/RGB Farbwechsel Deckenlampe LED Panel, IP44 Quadrat Flach Lampe Schlafzimmer für Kinderzimmer Wohnzimmer Badezimmer Modern Weiß 3200LM","Beleuchtung: 1145
Deckenleuchten: 92",EUR,37.69,4.5,696.0,,,"【Multifunktionale RGB-Deckenleuchte】✨ Peasur RGB deckenlampe hat 6 Farben: Rot, Gelb, Blau, Grün, Hellblau, Lila. Sie können den RGB-Farbzyklusmodus wählen oder eine der Farben ist festgelegt. Jedes Licht kann die romantischste Atmosphäre für Sie schaffen. Die LED Lampen deckenlampen haben außerdem eine Farbtemperatur von 4000K einstellbare Helligkeit(Nur 4000K, RGB-Helligkeit ist nicht einstellbar), die den täglichen Beleuchtungsanforderungen verschiedener Szenen gerecht werden kann.

【4000K LED Deckenleuchte Dimmbar + Nachtlicht】💡Kinderzimmer lampe decke bietet komfortables und stabiles 4000K natürliches Licht, die Anpassung der Helligkeit über die Fernbedienung kann den Beleuchtungsanforderungen verschiedener Lebensszenarien gerecht werden, 2,4 W minimale Dimmhelligkeit kann als Nachtlicht verwendet werden , sorgen für Ruhe Lichtquellen helfen Kindern beim Einschlafen. Die Deckenleuchte schaltet sich nach 60 Sekunden nach Drücken der Verzögerungstaste automatisch aus.

【Schlafzimmerlampe mit Fernbedienung】⚙️Led deckenlampe mit Infrarot-Fernbedienung kann ohne Hindernisse eine freie und präzise Steuerung der deckenleuchten innerhalb von 10 Metern erreichen. Wenn Sie nur die Fernbedienung verwenden, speichern die Lichteffekte immer die Einstellungen vom letzten Ausschalten. Sie können auch den Wandschalter verwenden, Folgendes zu erreichen: ①Ein/Aus ②Ein für 10 Sekunden, Aus für 5 Sekunden, um die Memory-Funktion des Wandschalters zu aktivieren.

【Energieeffizient】✔️Hochwertige deckenlampe schlafzimmer liefern 3200 Lumen energiesparendes 24W Licht, das einen Raum von 10 bis 20 Quadratmetern beleuchten kann, was herkömmlichen 200-W-Glühlampen entspricht und mehr als 90 % der Stromrechnung spart. Die hochwertige LED panel hat eine Farbwiedergabe CRI>80 und eine höhere Lichtdurchlässigkeit. Die lange Lebensdauer von 25.000 Stunden kann die Wartungskosten erheblich reduzieren.

【Ultradünne Wasserdichte Led Deckenlampe】💦Unsere badezimmer lampe hat ein quadratisches, ultradünnes und leichtes Design von 29,5 x 2,5 cm mit einem einfachen und eleganten Erscheinungsbild. IP44 wasserdichtes, einteiliges Dichtungsdesign verhindert das Eindringen von Insekten oder Staub und ist nach längerem Gebrauch immer noch sauber wie neu.Es wird in Schlafzimmern, Wohnzimmern, Esszimmern, Kinderzimmern, Badezimmern, Spielzimmern und Yogaräumen installiert Sport, Partyunterhaltung usw.

【Einfach zu installieren】🛠️RGB Modern led deckenleuchte flach bietet detaillierte Installationsanweisungen und Zubehör, nur 3 Schritte, Sie können es ganz einfach selbst ohne einen professionellen Installationstechniker durchführen. ❤️ Peasur wohnzimmerlampe werden mit einer 90-tägigen Geld-zurück-Garantie und einer 1-jährigen sorgenfreien Garantie geliefert. Wenn Sie Fragen zu dieser deckenleuchte wohnzimmer haben, kontaktieren Sie uns bitte zuerst, um Ihnen die beste Lösung zu bieten.",Peasur,MEIYIYUAN,Besuche den Peasur,,29.5 x 29.5 x 2.5 cm,960 g,,2022-09-14,0.0,0.0,False
15,B09DFL27TB,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41Cs5mLi8aL._AC_UL320_.jpg,"LEDYA-LED Deckenleuchte Wohnzimmer, 3000K Warmweiss Helle Deckenlampe, 18W 1600LM Deckenbeleuchtung Rund für Schlafzimmer, Kinderzimmer, Esszimmer, Balkon, Bad, Flur, Küche, 295×25mm 20042 Warmweiß","Beleuchtung: 2179
Deckenleuchten: 177",EUR,23.79,4.5,317.0,,,"【Ultradünne Moderne Deckenlampen LED】 Elegantes und einfaches Erscheinungsbild, ultradünnes Design - 2,5 cm Dicke, diese 18W 1600lm led deckenleuchte rund entspricht einer 144W Glühbirne und spart mehr als 90% Stromkosten. Sie können die deckenlampe wohnzimmer modern in einem Raum von ca. 15-25m² . befestigen

【LED Deckenleuchte Warmweiss】 Die CE RoHS-Zertifizierung stellt sicher, dass unsere deckenlampe weiß für Ihre Familie elektrisch sicher sind. 3000k deckenleuchte mit warmweißem, sonnenuntergangsähnlichem Licht, das Ihrem Zuhause ein schönes und gemütliches Ambiente verleiht, perfekt für Schlafzimmer, Kinderzimmer, Wohnzimmer, Esszimmer und Balkon, wo Sie sich entspannen müssen

【Jeder kann die Lampe installieren】Einfach den Sockel montieren, die Drähte anschließen, die led deckenleuchte flach durch Drehen am Sockel befestigen und FERTIG! (Alle benötigten Schrauben wurden mitgeliefert). Es sind keine komplizierten elektrischen Fähigkeiten erforderlich, die Deckenleuchten können einfach an Decke oder Wand befestigt werden

【Deckenleuchten für Feuchtraum】Made Das vollständig abgedichtete Design verhindert das Eindringen von Staub und Mücken in die Lampe. IP44-Standard sorgt dafür, dass die helle deckenlampe led in Feuchträumen Ihres Hauses und in Badezimmern, Wohnzimmern, Schlafzimmern, Kinderzimmern, Küchen, Fluren, Kellern, Balkonen, Garagen gut funktionieren können

【Wir kümmern uns um Sie】 Ausgestattet mit hochwertiger LED-Technologie und milchig weißem Lampenschirm erzeugt die deckenbeleuchtung gleichmäßiges, blendfreies und flimmerfreies Licht und schützt Ihre Augen vor grellem Licht. Für diese led deckenleuchte flach bieten wir Ihnen eine verlängerte Lebensdauer von 25000 Stunden, 2 Jahre Garantie und einen lebenslangen freundlichen Kundenservice",LEDYA,,,,29.5 x 29.5 x 2.5 cm,820 gramm,,2021-08-24,,0.0,False
16,B09W9LY53R,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51V9+v10skL._AC_UL320_.jpg,"activeallbrite LED Deckenleuchte Neutralweiß, Flach Deckenlampe,24W 2200LM 4000K 22cmx2.5cm, Ultra Dünn Lampe für Badezimmer/Flur/Schlafzimmer/Keller/Balkon/Küche/Wohnzimmer","Beleuchtung: 2972
Deckenleuchten: 220",EUR,12.4,4.5,99.0,,,Energieeffizient,activeallbrite,activeallbrite DE,,,22l x 22b x 2.5h cm,480 g,,2022-03-23,0.0,0.0,False
17,B0BG1974G3,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61CO5Vo2umL._AC_UL320_.jpg,"Holz LED Deckenleuchte | Top 360° Glühen Holz Deckenlampe | Neutralweiß 4500K 1620lm 18W | Runde Holz-Deckenleuchten Ø30 cm | Lounge, Wohnzimmer, Küche, Esszimmer, Flur, Zuhause, Büro, Kinderzimmer","Beleuchtung: 794
Deckenleuchten für Kinder: 3
Deckenleuchten: 64",EUR,39.99,4.1,54.0,,,"👍【Größe und Material】: Der Durchmesser der Leuchte beträgt 11.8in(30cm). Die Befestigungshöhe beträgt 2.0in(5cm). Hergestellt aus Metall, Holz und Acryl (PMMA), hat eine gute Beständigkeit, Korrosionsschutz und Wärmeableitung. Rundes LED-Lichtpanel und 360° LED Lichtköpfe in Ringform sorgen für rundum tolles Licht.

👍【Deckenleuchte aus Naturholz】 :Die runde Deckenleuchte mit modischem Design besteht aus Holz, Metall und Acryl, schlanke und helle Lichter, exquisite dekorative Atmosphäre, neutrales Licht sorgt für Ordnung und gute Laune. Auf der Oberseite LED-Ring, inspiriert vom Wiener Design, einfach, aber nicht bedrückend, kann entweder den Raum dekorieren und Ihr Zimmer beleuchten, wenn es dunkel ist.

👍【Energieeffiziente LED】:Unsere Unterputzbeleuchtung mit Hochleistungs-LED-Chips spart bis zu 85 % Energie als Halogenlampen. Einfache Installation der LED-Deckenbeleuchtung in mehreren Schritten. Mit einer Lebensdauer von über 45.000 Stunden. Neutralweiß 4500K, nicht dimmbar, nicht mit dem Dimmer kompatibel.

👍【INTELLIGENTER SCHUTZTREIBER】:Der eingebaute intelligente Treiber bietet Konstantstromschutz, Überlastschutz, Niederspannungsschutz und Kurzschlussschutz, wodurch die lange Lebensdauer der Deckenleuchte sichergestellt wird.

👍【Breite Anwendungsszenarien】:Der Lampenschirm aus weißem mattiertem Acryl macht das Licht gleichmäßiger und weicher, wodurch die Augen vor Blendlicht geschützt werden können. Geeignet für Innenbereiche wie Wohnzimmer, Schlafzimmer, Esszimmer, Kücheninsel, Korridor, Waschküche, Büro, Balkon usw.",WayLuoung,G0000D,,,30l x 30b x 5.5h cm,1.24 kg,,2022-09-21,0.0,1.0,False
18,B0B7HGB5FR,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41pU1JPMSbL._AC_UL320_.jpg,"Gindoly 24W LED Deckenleuchte Rund,Flach Deckenlampe 5000K Ultra Dünn, 2100LM Neutralweiß lampen deckenlampen, IP20 Wasserfest Badlampe für Schlafzimmer, Wohnzimmer, Bad","Beleuchtung: 2375
Deckenleuchten: 189",EUR,13.59,4.5,80.0,,,"【Superhell und energieeffizient】Die hochwertige runde Deckenleuchte mit 24 W und 2100 Lumen entspricht einer herkömmlichen 200 W-Glühlampe und spart über 85 % der Stromkosten. Mit einer hohen Lichtdurchlässigkeit wird die LED-Deckenleuchte gleichmäßig und sanft im Raum verteilt und sorgt so für eine komfortable und angenehme Umgebung.

【Schlanke Deckenleuchte】Diese schlanke LED-Deckenleuchte hat einen schmalen runden Rahmen mit einem Durchmesser von 220 mm und ist nur 10 mm dick. Die Deckenleuchte mit neutralem weißem Licht eignet sich perfekt für niedrige Decken und um das Raumgefühl zu verbessern. Diese LED-Deckenleuchte ist unauffällig und sehr stilvoll und einfach.

【Anti-Moskito und wasserdicht】Diese runde Badezimmerleuchte hat ein IP44-Zertifikat für Wasserdichtigkeit, so dass Sie diese flache Deckenleuchte bedenkenlos in Badezimmern, Fluren, Türöffnungen, Küchen, Balkonen und Weinkellern einsetzen können, wo Feuchtigkeit auftreten kann

[Einfache Installation] Feste Installation mit einstellbaren Lochabständen. Einfach und schnell. 1. die Halterung anbringen, 2. die Kabel einrasten lassen, 3. die Leuchte aufschieben und verriegeln, 4. die hintere Abdeckung abdecken und die LED-Deckenleuchte ist einsatzbereit. Sie kann von einer Person selbständig installiert werden. (Verwenden Sie nur einen normalen ON/OFF-Wandschalter!)

【Sorgenfreier Kundendienst】 Diese LED-Deckenleuchte hat eine Lebensdauer von bis zu 25.000 Stunden und erspart Ihnen häufiges Auswechseln. Wir unterstützen auch 2 Jahre sorgenfreie Garantie, wenn es irgendein Problem mit dieser rRund,Flach Deckenlampe gibt, kontaktieren Sie uns bitte zuerst, wir werden Ihnen die beste Lösung beim ersten Mal geben.",Gindoly,KINGSUN INTERNATIONAL SARL,,,24l x 23b x 3h cm,480 g,,2022-07-25,0.0,0.0,False
19,B08NPS1MF9,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51OJAAcl-2L._AC_UL320_.jpg,"Goeco LED Deckenleuchte, Deckenlampe 20W 2200LM, LED Lampe Schwarz für Wohnzimmer Schlafzimmer Flur Küche Balkon, Durchmesser 25cm, Dimmbar 3000K / 4500K / 6500K","Beleuchtung: 1641
Deckenleuchten: 127",EUR,34.98,4.2,844.0,,,"🍉LED Deckenleuchte größe: 25*25*10cm, Blütenform, Bestrahlungsfläche 5-10 Quadratmeter. 20W 2200 Lumen und die Spannung beträgt 220V.

🍉LED Deckenlampe: schalten Sie den Wandschalter um, um zwischen weißem Licht / neutralem Licht / warmem Licht zu wechseln.

🍉Gang Korridor Lichter: blumenförmiges Design ist in den Raum integriert, einfach und modern, es ist eine gute Wahl für die Beleuchtungsdekoration.

🍉Einfach zu installieren: es sind keine komplizierten Installationsschritte erforderlich. Schließen Sie einfach das reservierte Kabel an.

🍉Anwendbare Gelegenheiten: LED Deckenleuchte geeignet für wohnzimmer, schlafzimmer, flur, küche, balkon und andere Orte.

🍉Hinweis: Das Produkt enthält keinen Schalter.Die Lichtfarbe der Lampe wird zufällig gewechselt.Bitte bestätigen Sie die Größe vor dem Kauf.",Goeco,HXIN LIght,,,23.88 x 23.88 x 10.92 cm,470 g,,2021-02-03,0.0,0.0,False
20,B0BHQYB48H,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61w6jHMimIL._AC_UL320_.jpg,CBJKTX Deckenlampe LED Deckenleuchte Dimmbar mit Fernbedienung 40W Schwarz Wohnzimmerlampe aus Metall Modern Design Schlafzimmerlampe Küchenlampe für Schlafzimmer Esszimmer Wohnzimmer Arbeitszimmer,"Beleuchtung: 889
Deckenleuchten: 69",EUR,59.99,4.2,82.0,10.0,0.0,"💡【Modernes Design】Die LED-Deckenlampe überzeugt mit ihrem modischen Design und ihrer interessanten Optik. Er besteht aus zwei rechteckigen Rahmen, die an den Deckenhalterungen befestigt werden. Im Inneren dieser Elemente verlaufen festverbaute LEDs, welche das entsprechende Licht liefern. Die LED-Deckenleuchte lässt sich mit ihrer dezenten Farbgebung und ihrem attraktiven Design mühelos in moderne Einrichtungsstile integrieren

💡【Augenschutz & Flimmerfrei】Die fortschrittliche LED-Beleuchtung ist frei von RF-Interferenzen und strahlt ein helles, weiches Licht aus, das Ihre Augen schützt. Der speziell behandelte Lampenschirm dämpft das Licht noch mehr. Der Farbwiedergabeindex der Deckenleuchte liegt bei >80, was eine klare Farbwiedergabe gewährleistet und die wahren Farben des Lebens wiederherstellt. Ob am Tag oder in der Nacht, Ihr Zuhause ist immer voller Farbe. Größe der Deckenleuchte: ø60*29*7cm; Größe der Deckenplatte: ø19*10*3cm; Spannung: 230V

💡【Memoryfunktion】Diese LED Deckenleuchte Dimmbar verfügt über eine schlaue Speicherfunktion. Schalten Sie die Lampe mit Wandschalter ein und warten Sie 8 Sekunden. Schalten Sie es dann aus und wieder ein. Das Licht merkt sich automatisch die vorherige Lichtfarbe. Im Gegenteil, nachdem Sie das Licht eingeschaltet haben, schalten Sie es schnell aus und dann schnell ein, es startet verschiedene Lichtfarbe ein. Hält Sie in einem komfortablen Beleuchtungszustand, ohne jedoch häufige Anpassungen vorzunehmen

💡【Stufenloses Dimmen】Die LED-Deckenleuchte verfügt über zwei Arten der Steuerung: Fernbedienung und Wandschalter (nicht im Lieferumfang enthalten). Sie können das Licht von kühl bis warm und die Helligkeit von hell bis gedämpft einstellen. Die Farbtemperatur kann von 3000K bis 6500K eingestellt werden. Einstellbare Lichthelligkeit von 5 % bis 100 %. So können Sie das Licht selbst einstellen, um es Ihren Bedürfnissen und den unterschiedlichen Anforderungen an das Ambiente anzupassen. Hinweis: Die Helligkeit kann nicht über die Wandsteuerung eingestellt werden

💡【Breites Anwendungsspektrum 】Die Deckenleuchte ist aus hochwertigem Eisen und Aluminium mit einer galvanisierten Oberfläche gefertigt, die korrosionsbeständig und sehr langlebig ist. Sie ist einfach und schnell zu installieren und eignet sich ideal für die Innenbeleuchtung von Wohnzimmern, Küchen, Schlafzimmern, Kaufhäusern, Esszimmern, Konferenzräumen, Fluren, Treppenhäusern, Veranden und Garagen",CBJKTX,cbjktx,Besuche den CBJKTX,,60 x 29 x 7 cm,1.22 kg,,2022-10-09,0.0,1.0,False
21,B0949JH4FY,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61hL4RZjUGS._AC_UL320_.jpg,"ledscom.de Deckenleuchte FARE, 2-flammig, schwarz matt, 2x E27 max. 60W","Beleuchtung: 9194
Wandleuchten: 290
LED Lampen: 1692",EUR,22.95,4.5,75.0,,,"Dreh- und schwenkbarer Leuchtenkopf zur gezielten Ausleuchtung und Akzentuierung

E27-Lampenfassung im Retro-Stil mit industriellem Flair

kein Leuchtmittel enthalten

Robustes Stahl-Gehäuse, schwarz lackiert

Abmessungen: 300 mm x 125 mm x 50 mm (B x H x T)

Direkter Anschluss an 230V

Individuelle Lichtgestaltung durch austauschbares Leuchtmittel (enthält kein Leuchtmittel)

Lieferumfang: E27 Lampen-Fassung FARE, Montagematerial

Die schwarz matte E27 Decken-Leuchte FARE ist mit zwei dreh- und schwenkbaren Spots ausgestattet. Diese Sports sind um 90° schwenk- und 360° drehbar und sorgen für eine individuelle gezielte Ausleuchtung und Akzentuierung. Die zweiflammige Lampe eignet sich mit ihren klaren Formen für den gesamten Innenbereich, wie z. B. für die Anwendung im Esszimmer, Schlafzimmer, Küche, Wohnzimmer, Studio oder an der Bar.",ledscom.de,LEDs Com GmbH,Besuche den ledscom.de,,5 x 30 x 12.5 cm,500 g,,2021-08-01,0.0,0.0,False
22,B0BCHT7J2R,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51FEUXn0KJL._AC_UL320_.jpg,"Manjusaka 24W RGB LED Deckenleuchte, 2000LM APP Deckenlampe Dimmbar, 2700K-6500K Farbwechsel Flach Schlafzimmer Lampe, IP44 Wasserfest für Kinderzimmer Badezimmer Küche Wohnzimmer","Beleuchtung: 3725
Deckenleuchten: 271",EUR,29.74,4.1,75.0,,,"【RGB Farbwechsel und dimmbar】: RGB: Es stehen 16 Millionen Farben zur Auswahl, um den Anforderungen verschiedener Situationen gerecht zu werden. Dimmbare Helligkeit: Die Helligkeit kann von 10% bis 100% und Farbtemperaturen von 2700K-6500K eingestellt werden. Die intelligente LED-Deckenleuchte verfügt über 8 Lichtmodi (Lesen, Arbeiten, Nacht, Freizeit usw.) und kann sogar die Farbe entsprechend dem Rhythmus der Musik ändern, um Ihnen mehr Atmosphäre zu verleihen.

【Intelligente APP Steuerbar & Sprachsteuerung】: Diese WiFi Deckenleuchte ist per ""Smart Life"" oder ""Tuya"" APP steuerbar(IOS & Android verfügbar). Außerdem kann die Smart Deckenlampe einfach per Sprachbefehle nach der Verbindung mit Alexa & Google Home, Schalten Sie einfach das Licht mit einem Befehl ein oder aus und passen Sie die Helligkeit an. Sie können die Deckenlampe leicht einstellen.

【IP44 wasserdicht】: LED Deckenleuchte dimmbar ist spritzwassergeschützt IP44 Index, Sie können LED Deckenleuchte mit Fernbedienung in den meisten Räumen installieren, wie Schlafzimmer, Wohnzimmer, Flur, Kinderzimmer, Garage, Bad, Küche, Keller usw. und es ist einfach zu installieren, nur 3 Schritte, die Installation ist abgeschlossen.

【Sprachsteuerung】: Die Sprachsteuerungsfunktion befreit Ihre Hände. Diese Deckenleuchte funktioniert mit Amazon Alexa und Google Assistantund ermöglicht es Ihnen, Ihre Lichter mit einfachen Sprachbefehlen freihändig zu steuern.

【Energiesparend】: Diese 24 W LED Deckenleuchte entspricht einer herkömmlichen 200 W Glühbirne und spart über 85 % Stromkosten. (im Vergleich zur Glühlampe)",Manjusaka,INLY ELECTRONICS,,,29.5l x 29.5b x 2.5h cm,1.02 kg,,2022-08-31,0.0,0.0,False
23,B0BL3BLFJY,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61u0ctBCwtL._AC_UL320_.jpg,"MILFECH 24W LED Deckenleuchte Dimmbar Deckenlampe mit Fernbedienung, 6 RGB Farbwechsel mit 3000k-6000k, 3200LM für Schlafzimmer Badezimmer Küche Quadrat LED Lampen Wasserdicht IP54","Beleuchtung: 901
Deckenleuchten: 70",EUR,39.99,4.6,162.0,,,"Ultradünnes Design.Das 1-Zoll ultradünne quadratische Kantendesign ist sehr geeignet für niedrige Decken, so dass Sie schnell in wenigen Minuten installieren können.

Dimmbare Farbtemperatur 3000K-6000K, Helligkeit kann von 10% bis 100% eingestellt werden Es hat 6-RGB-Farben und einen Zyklusmodus, der als Atmosphärenlicht verwendet werden kann, um verschiedene Szenenanforderungen zu erfüllen.

Speicherfunktion mit optischer Speicherfunktion, wenn Sie die Fernbedienung oder den Wandschalter verwenden, um es ein- und auszuschalten, kann es die Einstellungen speichern, die Sie vor dem Ausschalten des Lichts gemacht haben, ohne jedes Zurücksetzen.

Kleines Nachtlicht: Diese Deckenleuchte hat einen Nachtlichtmodus mit 10% Helligkeit, der den Schlaf nicht beeinflusst und bequemer für ältere Menschen, Kinder, schwangere Frauen oder Menschen mit Mobilitätsschwierigkeiten ist.

IP54 wasserdicht mit spritzwassergeschütztem IP54 Index, können Sie es in Fluren, Bädern, Küchen, Kellern und anderen verschiedenen Räumen verwenden.",MILFECH,goldengrimoire,,,30l x 30b x 2.5h cm,950 g,,2022-11-01,0.0,1.0,False
